ms_subclass,lot_frontage,lot_area,lot_shape,utilities,neighborhood,overall_qual,overall_cond,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_exposure,total_bsmt_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_cars,garage_area,pool_area,pool_qc,yr_sold,saleprice,condition_3,bldg_type_1Fam,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,exterior_3rd,bsmt_qual_cond_merged,bsmtfin_type_merged,bsmtfin_sf_merged,garage_qual_cond_merged
160,21.0,1680,4,4,1,6,5,1971,232.0,3,3,1,483.0,3,1,483,504,987,0.0,0.0,1,1,2,1,3,4,1,0,0,1.0,264.0,0,0,2008,85400,0,0,0,0,1,0,2,6,6,387.0,6
20,64.0,7488,3,4,3,7,5,2005,0.0,4,3,3,1208.0,5,1,1208,0,1208,0.0,0.0,2,0,2,1,4,6,1,0,0,2.0,632.0,0,0,2006,183600,0,1,0,0,0,0,4,7,7,393.0,6
70,120.0,26400,4,4,3,5,7,2007,0.0,4,3,0,0.0,5,1,1288,728,2016,0.0,0.0,1,0,4,1,3,7,0,1,3,2.0,576.0,0,0,2009,131000,0,1,0,0,0,0,2,0,0,0.0,6
160,24.0,2645,4,4,3,8,5,2000,456.0,4,3,1,960.0,5,1,962,645,1607,1.0,0.0,2,1,3,1,4,7,1,0,0,2.0,480.0,0,0,2008,200000,0,0,0,0,1,0,2,7,7,813.0,6
20,74.0,9627,4,4,3,7,5,2007,0.0,4,3,3,1351.0,5,1,1361,0,1361,0.0,0.0,2,0,3,1,4,6,1,0,0,2.0,610.0,0,0,2008,193000,0,1,0,0,0,0,4,7,7,24.0,6
20,93.0,10114,4,4,2,5,5,2005,0.0,3,3,3,1430.0,5,1,1430,0,1430,0.0,0.0,2,0,3,1,4,7,1,0,0,2.0,624.0,0,0,2010,173500,0,1,0,0,0,0,4,8,2,0.0,6
70,34.0,4571,4,4,1,5,5,1950,0.0,3,3,1,624.0,2,1,624,720,1344,0.0,0.0,1,0,4,1,3,7,1,0,0,3.0,513.0,0,0,2008,98000,0,1,0,0,0,0,0,6,2,0.0,4
20,80.0,8816,4,4,2,5,6,1963,0.0,3,3,1,1121.0,3,1,1121,0,1121,1.0,0.0,1,0,3,1,3,5,1,0,0,2.0,480.0,0,0,2009,139000,0,1,0,0,0,0,4,6,4,651.0,6
20,71.0,8197,4,4,2,6,5,1977,148.0,3,3,1,660.0,5,1,1285,0,1285,0.0,0.0,1,1,3,1,3,7,1,1,3,2.0,528.0,0,0,2007,143500,0,1,0,0,0,0,2,6,2,0.0,6
60,72.0,8640,4,4,3,7,5,2009,0.0,3,3,2,756.0,5,1,764,783,1547,0.0,0.0,2,1,3,1,4,7,1,0,0,2.0,614.0,0,0,2010,215200,0,1,0,0,0,0,4,7,7,24.0,6
20,109.0,8724,4,4,2,5,5,1968,0.0,3,3,1,894.0,4,1,894,0,894,0.0,0.0,1,0,3,1,3,5,1,1,1,2.0,450.0,0,0,2007,129000,0,1,0,0,0,0,4,7,5,492.0,6
120,40.0,5664,3,4,4,8,5,2000,0.0,4,3,1,1501.0,5,1,1659,0,1659,1.0,0.0,2,0,2,1,5,5,1,1,5,2.0,499.0,0,0,2009,278000,0,0,0,0,0,1,4,7,7,1158.0,6
60,103.0,12867,3,4,4,8,5,2006,99.69590931493346,4,3,3,1209.0,5,1,1209,1044,2253,0.0,0.0,2,1,3,1,5,8,1,1,4,2.0,575.0,0,0,2006,344133,0,1,0,0,0,0,4,8,2,0.0,6
20,69.05520046484602,7980,3,4,3,6,7,2007,0.0,3,4,1,1168.0,5,1,1187,0,1187,1.0,0.0,2,0,3,1,3,6,1,0,0,2.0,420.0,0,0,2010,185000,0,1,0,0,0,0,2,7,6,935.0,6
190,100.0,34650,4,4,3,5,5,1955,0.0,3,3,2,1056.0,3,1,1056,0,1056,1.0,0.0,1,0,3,1,3,5,1,0,0,2.0,572.0,0,0,2006,145000,0,0,1,0,0,0,2,6,4,1056.0,6
20,92.0,10573,3,4,2,6,6,1961,3.0,3,3,1,1453.0,5,1,1453,0,1453,1.0,0.0,2,0,3,1,3,6,1,1,3,2.0,530.0,0,0,2009,187500,0,1,0,0,0,0,2,6,4,1312.0,6
20,65.0,8450,4,4,2,5,8,2009,0.0,3,4,1,894.0,5,1,894,0,894,1.0,0.0,1,0,3,1,3,5,1,1,4,1.0,336.0,0,0,2010,138500,2,1,0,0,0,0,2,6,10,670.0,6
50,69.05520046484602,11700,3,4,3,5,6,1995,0.0,3,3,1,942.0,5,1,1265,673,1938,0.0,0.0,2,0,4,1,4,7,0,1,4,1.0,240.0,0,0,2008,198000,0,1,0,0,0,0,2,6,5,606.0,6
190,75.0,8250,4,4,1,5,6,2006,0.0,3,4,1,957.0,2,1,1034,957,1991,0.0,0.0,2,0,4,2,3,9,1,0,0,0.0,0.0,0,0,2007,119600,0,0,1,0,0,0,4,6,2,0.0,0
50,60.0,8064,4,4,2,5,7,2006,0.0,3,4,2,672.0,5,1,672,252,924,0.0,0.0,1,0,3,1,3,6,1,1,1,2.0,576.0,0,0,2007,122900,0,1,0,0,0,0,2,6,2,0.0,6
20,80.0,9600,4,4,3,8,5,1981,0.0,4,3,1,2524.0,3,1,2524,0,2524,1.0,0.0,2,1,4,1,4,9,1,1,4,2.0,542.0,0,0,2009,278000,1,1,0,0,0,0,3,7,6,1104.0,6
70,69.05520046484602,11435,3,4,3,8,7,1950,0.0,3,3,1,792.0,2,1,792,725,1517,0.0,0.0,1,0,3,1,4,7,1,2,4,2.0,400.0,0,0,2006,230000,0,1,0,0,0,0,2,7,2,0.0,6
120,30.0,9549,3,4,4,8,5,1996,0.0,4,4,3,1494.0,5,1,1494,0,1494,1.0,0.0,1,1,2,1,5,6,1,1,4,2.0,481.0,0,0,2006,270000,0,0,0,0,0,1,3,8,8,1494.0,6
20,60.0,10950,4,4,2,6,6,1952,0.0,3,3,1,948.0,3,1,948,0,948,0.0,0.0,1,0,2,1,3,5,1,0,0,2.0,410.0,0,0,2007,125000,0,1,0,0,0,0,2,6,6,441.0,6
20,79.0,10637,4,4,3,8,5,2008,336.0,4,3,4,1705.0,5,1,1718,0,1718,1.0,0.0,2,0,3,1,4,7,1,1,4,3.0,826.0,0,0,2009,297000,0,1,0,0,0,0,4,8,7,1288.0,6
20,80.0,9000,3,4,2,6,6,1958,82.0,3,3,4,160.0,2,1,1142,0,1142,0.0,0.0,1,0,2,1,3,5,1,1,4,1.0,384.0,0,0,2009,113500,0,1,0,0,0,0,2,7,2,0.0,6
160,41.0,2665,4,4,1,5,6,1977,0.0,3,3,1,757.0,5,1,925,550,1475,0.0,0.0,2,0,4,1,3,6,1,1,3,1.0,336.0,0,0,2006,127000,0,0,0,0,0,1,4,6,8,721.0,6
20,105.0,11751,3,4,3,6,6,1977,480.0,3,3,1,1844.0,5,1,1844,0,1844,0.0,0.0,2,0,3,1,3,7,1,1,3,2.0,546.0,0,0,2010,190000,0,1,0,0,0,0,2,7,5,705.0,6
20,80.0,9600,4,4,3,7,6,1973,320.0,3,3,1,1242.0,2,1,1242,0,1242,0.0,0.0,1,1,3,1,3,6,1,1,3,2.0,528.0,0,0,2007,175500,0,1,0,0,0,0,2,6,6,916.0,6
20,60.0,8428,2,4,3,5,7,1994,0.0,3,4,1,990.0,5,1,990,0,990,1.0,0.0,1,0,3,1,3,5,1,0,0,1.0,384.0,0,0,2007,146000,0,1,0,0,0,0,4,8,7,420.0,6
20,75.0,9937,4,4,2,5,6,1965,0.0,4,3,1,1256.0,4,1,1256,0,1256,1.0,0.0,1,1,3,1,3,6,1,0,0,1.0,276.0,0,0,2008,147500,0,1,0,0,0,0,2,6,6,1120.0,6
20,107.0,13891,4,4,4,10,5,2006,99.69590931493346,5,3,4,2076.0,5,1,2076,0,2076,1.0,0.0,2,1,2,1,5,7,1,1,4,3.0,850.0,0,0,2006,465000,0,1,0,0,0,0,4,9,7,1386.0,6
85,69.05520046484602,9101,3,4,2,5,6,1978,104.0,3,4,3,1097.0,5,1,1110,0,1110,1.0,0.0,1,0,1,1,4,4,1,1,3,2.0,602.0,0,0,2009,165500,0,1,0,0,0,0,2,7,7,1097.0,6
50,81.0,12150,4,4,1,5,5,1954,335.0,3,3,1,1050.0,5,0,1050,745,1795,0.0,0.0,2,0,4,1,3,7,1,0,0,1.0,352.0,0,0,2008,131500,0,1,0,0,0,0,2,6,2,0.0,5
20,70.0,11200,4,4,2,5,5,1965,0.0,3,3,1,1040.0,5,1,1040,0,1040,1.0,0.0,1,0,3,1,3,5,1,0,0,1.0,384.0,0,0,2008,129500,0,1,0,0,0,0,2,6,4,906.0,6
70,100.0,9670,3,4,3,8,6,1950,40.0,3,3,1,608.0,3,1,983,890,1873,0.0,0.0,1,1,4,1,3,9,1,2,4,2.0,786.0,0,0,2008,257076,0,1,0,0,0,0,2,5,3,210.0,5
50,60.0,10998,4,4,2,5,5,1960,0.0,3,3,1,984.0,5,1,984,620,1604,0.0,0.0,2,0,3,1,3,6,0,0,0,2.0,660.0,0,0,2009,117000,0,1,0,0,0,0,2,6,6,828.0,6
70,60.0,7200,4,4,3,7,6,2000,0.0,3,2,1,776.0,3,1,851,651,1502,0.0,0.0,1,1,3,1,3,6,1,1,4,1.0,270.0,0,0,2008,149000,0,1,0,0,0,0,1,7,2,0.0,6
20,80.0,9920,4,4,2,5,5,1954,110.0,3,3,1,1056.0,3,1,1063,0,1063,1.0,0.0,1,0,3,1,3,6,1,0,0,1.0,280.0,0,0,2010,128000,0,1,0,0,0,0,2,6,5,644.0,6
160,36.0,2448,4,4,4,7,5,2004,106.0,4,3,1,764.0,5,1,764,862,1626,0.0,0.0,2,1,2,1,4,6,1,0,0,2.0,474.0,0,0,2008,155000,0,0,0,0,1,0,3,7,2,0.0,6
160,69.05520046484602,2998,4,4,3,6,5,2000,513.0,4,3,1,756.0,5,1,768,756,1524,0.0,0.0,2,1,2,1,4,4,1,0,0,2.0,440.0,0,0,2006,166000,0,0,0,0,0,1,2,7,7,353.0,6
50,65.0,7804,4,4,2,4,3,1950,0.0,3,3,1,1122.0,3,1,1328,653,1981,1.0,0.0,2,0,4,1,4,7,0,2,3,2.0,576.0,0,0,2009,135000,0,1,0,0,0,0,2,6,5,622.0,6
60,80.0,16692,3,4,3,7,5,1978,184.0,3,3,1,1392.0,3,1,1392,1392,2784,1.0,0.0,3,1,5,1,4,12,1,2,3,2.0,564.0,519,2,2006,250000,1,1,0,0,0,0,2,7,6,1259.0,6
160,21.0,1476,4,4,1,4,7,1970,0.0,3,3,1,546.0,5,1,546,546,1092,0.0,0.0,1,1,3,1,3,5,1,0,0,0.0,0.0,0,0,2010,76000,0,0,0,0,1,0,4,6,7,176.0,0
20,75.0,10170,4,4,2,6,6,1951,522.0,3,3,1,216.0,3,1,1575,0,1575,0.0,0.0,1,1,2,1,4,5,1,1,4,2.0,400.0,0,0,2006,155000,0,1,0,0,0,0,2,6,2,0.0,6
60,80.0,9364,4,4,2,6,7,1969,143.0,3,3,1,663.0,3,1,663,689,1352,0.0,0.0,1,1,4,1,3,7,1,0,0,1.0,299.0,0,0,2010,158000,0,1,0,0,0,0,2,6,6,371.0,6
160,24.0,2544,4,4,3,7,5,2005,0.0,4,3,1,600.0,5,1,600,600,1200,1.0,0.0,2,1,2,1,4,4,1,0,0,2.0,480.0,0,0,2010,149500,0,0,0,0,1,0,2,7,11,410.0,6
20,82.0,9888,4,4,2,5,6,1975,0.0,3,4,1,936.0,3,0,936,0,936,0.0,0.0,1,0,2,1,3,5,1,0,0,1.0,240.0,0,0,2006,121000,0,1,0,0,0,0,2,6,5,486.0,6
20,68.0,7942,4,4,2,6,7,1953,0.0,3,3,1,1040.0,3,0,1040,0,1040,0.0,1.0,1,0,3,1,3,6,1,0,0,1.0,293.0,0,0,2007,136000,0,1,0,0,0,0,2,6,8,1040.0,6
60,69.05520046484602,15038,2,4,3,6,5,1996,0.0,3,3,1,916.0,4,1,916,720,1636,0.0,0.0,2,1,3,1,3,7,1,1,3,2.0,386.0,0,0,2008,173000,0,1,0,0,0,0,2,7,4,138.0,6
60,92.0,11764,3,4,4,8,7,2007,348.0,4,3,1,1152.0,5,1,1164,1106,2270,0.0,0.0,2,1,4,1,4,9,1,1,4,3.0,671.0,0,0,2010,290000,0,1,0,0,0,0,4,7,7,524.0,6
60,75.0,9000,4,4,3,8,5,2007,0.0,4,3,3,1184.0,5,1,1184,1426,2610,0.0,0.0,2,1,4,1,5,11,1,1,4,2.0,550.0,0,0,2007,303477,0,1,0,0,0,0,4,7,7,64.0,6
20,69.05520046484602,20062,3,4,3,7,7,2001,0.0,4,4,4,1420.0,4,1,1483,0,1483,1.0,0.0,1,1,1,1,3,4,1,2,3,2.0,690.0,0,0,2010,270000,0,1,0,0,0,0,2,7,6,1092.0,6
50,81.0,7308,4,4,1,5,5,1950,0.0,2,2,1,936.0,4,0,960,780,1740,0.0,0.0,1,0,2,1,5,6,1,1,4,1.0,225.0,0,0,2008,122250,0,1,0,0,0,0,2,6,4,360.0,4
20,70.0,8750,4,4,2,5,5,1955,0.0,3,3,1,1382.0,4,0,1382,0,1382,0.0,1.0,1,0,3,1,4,6,1,0,0,1.0,350.0,0,0,2009,153000,0,1,0,0,0,0,0,6,5,655.0,6
20,70.0,8402,4,4,2,5,5,2007,0.0,3,3,1,1120.0,5,1,1120,0,1120,0.0,0.0,1,0,3,1,3,6,1,0,0,0.0,0.0,0,0,2007,147000,0,1,0,0,0,0,4,7,6,206.0,0
70,63.0,4000,4,4,3,7,8,1995,0.0,3,3,1,531.0,3,1,567,531,1098,1.0,0.0,1,0,2,1,3,5,1,1,4,1.0,216.0,0,0,2007,148500,0,1,0,0,0,0,2,7,7,246.0,6
160,32.0,3363,4,4,2,7,5,2004,117.0,4,3,1,976.0,5,1,976,732,1708,0.0,0.0,2,0,3,1,4,7,0,0,0,2.0,380.0,0,0,2006,130000,0,0,0,0,0,1,4,7,2,0.0,6
20,94.0,13615,3,4,4,9,5,2006,510.0,5,3,4,1802.0,5,1,1802,0,1802,0.0,0.0,2,1,3,1,5,7,1,1,4,3.0,843.0,0,0,2007,372000,0,1,0,0,0,0,2,8,2,0.0,6
120,43.0,3013,4,4,3,7,5,2005,145.0,4,3,4,1362.0,5,1,1506,0,1506,0.0,0.0,2,0,2,1,4,6,1,1,4,2.0,440.0,0,0,2006,213490,0,0,0,0,0,1,4,7,7,16.0,6
20,44.0,17485,2,4,2,7,5,2010,96.0,4,3,4,1508.0,5,1,1508,0,1508,1.0,0.0,1,0,1,1,4,5,1,2,3,2.0,572.0,0,0,2010,308030,0,1,0,0,0,0,4,7,7,1346.0,6
20,69.05520046484602,23730,2,4,2,7,5,1997,668.0,4,3,2,1840.0,5,1,2032,0,2032,1.0,0.0,3,0,3,1,4,7,1,0,0,3.0,786.0,0,0,2008,300000,0,1,0,0,0,0,2,8,7,700.0,6
20,79.0,8910,4,4,2,6,6,1959,0.0,3,3,2,655.0,5,1,1194,0,1194,0.0,1.0,1,0,3,1,3,6,1,1,2,2.0,539.0,0,0,2006,159500,0,1,0,0,0,0,3,6,6,655.0,6
160,24.0,2522,4,4,2,7,5,2004,50.0,4,3,1,970.0,5,1,970,739,1709,0.0,0.0,2,0,3,1,4,7,0,0,0,2.0,380.0,0,0,2006,137500,0,0,0,0,1,0,4,7,2,0.0,6
20,73.0,8688,4,4,3,7,5,2005,228.0,4,3,3,1616.0,5,1,1616,0,1616,0.0,0.0,2,0,3,1,4,7,1,0,0,3.0,834.0,0,0,2006,232000,0,1,0,0,0,0,4,7,2,0.0,6
30,69.05520046484602,6291,3,4,1,6,6,1950,0.0,4,4,1,768.0,3,1,768,0,768,0.0,0.0,1,0,1,1,3,4,1,0,0,2.0,440.0,0,0,2008,93850,2,1,0,0,0,0,1,6,2,0.0,6
30,69.05520046484602,17529,4,4,2,5,5,1950,65.0,3,3,1,872.0,2,0,872,0,872,0.0,0.0,1,0,2,1,2,5,0,1,4,1.0,322.0,0,0,2006,105000,0,1,0,0,0,0,2,6,2,0.0,4
30,60.0,6324,3,4,1,4,6,1950,0.0,3,3,1,520.0,2,1,520,0,520,0.0,0.0,1,0,1,1,2,4,1,0,0,1.0,240.0,0,0,2008,68500,0,1,0,0,0,0,2,6,2,0.0,5
90,80.0,11600,4,4,2,5,5,1960,361.0,3,3,1,1105.0,3,0,1105,1169,2274,0.0,0.0,2,0,5,2,3,12,1,0,0,2.0,480.0,0,0,2010,154300,0,0,0,1,0,0,2,6,4,443.0,6
50,50.0,7288,4,4,1,5,7,2003,0.0,4,4,1,936.0,5,1,936,665,1601,0.0,0.0,2,0,3,1,3,6,1,0,0,0.0,0.0,0,0,2007,129850,0,1,0,0,0,0,4,4,2,0.0,0
70,35.0,4571,4,4,1,5,7,1950,0.0,3,3,1,616.0,5,1,616,616,1232,0.0,0.0,1,0,3,1,3,6,1,0,0,2.0,480.0,0,0,2007,114000,0,1,0,0,0,0,2,6,5,168.0,4
50,100.0,12665,3,4,1,5,8,1950,0.0,3,3,2,876.0,4,1,876,540,1416,0.0,0.0,1,1,4,1,3,7,1,1,4,3.0,720.0,0,0,2008,153900,0,1,0,0,0,0,2,6,2,0.0,6
20,60.0,9000,4,4,2,4,7,2006,0.0,3,4,1,864.0,4,1,864,0,864,0.0,0.0,1,0,3,1,3,5,1,0,0,2.0,576.0,0,0,2009,130000,0,1,0,0,0,0,4,6,6,240.0,6
120,32.0,4500,4,4,2,6,5,1997,197.0,3,3,1,1189.0,5,1,1189,0,1189,1.0,0.0,2,0,2,1,3,4,1,0,0,2.0,392.0,0,0,2008,160500,0,0,0,0,0,1,4,8,7,864.0,6
120,48.0,6373,4,4,4,9,5,2006,572.0,5,3,1,1666.0,5,1,1666,0,1666,1.0,0.0,2,0,2,1,4,6,1,1,4,2.0,575.0,0,0,2006,310090,0,0,0,0,0,1,2,9,7,415.0,6
20,67.0,10083,4,4,3,7,5,2003,99.69590931493346,4,3,1,1176.0,5,1,1200,0,1200,1.0,0.0,2,0,2,1,4,5,1,0,0,2.0,555.0,0,0,2009,184900,0,1,0,0,0,0,4,7,7,833.0,6
20,70.0,13300,4,4,2,5,7,2000,0.0,3,3,1,928.0,3,1,928,0,928,0.0,0.0,1,0,2,1,3,4,1,0,0,1.0,252.0,0,0,2007,132000,0,1,0,0,0,0,2,7,4,377.0,6
20,80.0,9600,4,4,3,5,5,1969,128.0,3,3,2,1288.0,3,1,1336,0,1336,0.0,1.0,2,0,3,1,3,6,1,1,2,2.0,502.0,0,0,2009,163000,0,1,0,0,0,0,2,7,8,700.0,6
160,30.0,3215,4,4,3,7,5,2004,120.0,4,3,3,600.0,5,1,600,600,1200,0.0,0.0,2,1,2,1,4,4,1,0,0,2.0,480.0,0,0,2010,155000,0,0,0,0,0,1,2,7,7,280.0,6
80,69.05520046484602,11104,3,4,3,6,6,1969,0.0,3,3,3,1427.0,4,1,1427,0,1427,0.0,1.0,2,0,4,1,3,7,1,0,0,2.0,516.0,0,0,2008,183000,0,1,0,0,0,0,2,6,7,828.0,6
60,69.05520046484602,15295,1,4,3,7,5,2002,254.0,4,3,2,860.0,5,1,1212,780,1992,1.0,0.0,2,1,3,1,4,7,0,2,3,2.0,608.0,0,0,2007,211000,0,1,0,0,0,0,4,7,7,762.0,6
60,70.0,9109,4,4,3,7,5,1994,0.0,4,3,1,754.0,5,1,754,786,1540,1.0,0.0,2,1,3,1,4,6,1,0,0,2.0,495.0,0,0,2009,184000,2,1,0,0,0,0,4,7,8,632.0,6
90,64.0,7018,4,4,3,5,5,1979,0.0,3,3,0,0.0,3,1,1535,0,1535,0.0,0.0,2,0,4,2,3,8,1,0,0,2.0,400.0,0,0,2009,118858,0,0,0,1,0,0,2,0,0,0.0,6
80,69.05520046484602,14112,3,4,2,5,7,1964,86.0,3,3,3,1152.0,3,1,1152,0,1152,1.0,0.0,1,0,3,1,3,6,1,1,4,2.0,484.0,0,0,2010,180500,0,1,0,0,0,0,2,6,7,1014.0,6
120,80.0,3523,3,4,3,8,5,2007,30.0,4,3,1,1141.0,5,1,1151,0,1151,1.0,0.0,2,0,2,1,4,5,1,0,0,2.0,484.0,0,0,2007,166000,0,0,0,0,0,1,4,7,7,60.0,6
80,88.0,15312,4,4,2,6,5,1960,54.0,3,3,3,1138.0,5,1,1138,0,1138,0.0,1.0,1,0,3,1,3,6,1,1,3,2.0,480.0,0,0,2009,148000,0,1,0,0,0,0,2,6,5,588.0,6
20,74.0,7450,3,4,2,5,5,1956,0.0,3,3,1,894.0,4,1,1074,0,1074,0.0,0.0,1,0,2,1,4,6,0,1,4,2.0,396.0,0,0,2007,124000,0,1,0,0,0,0,2,6,5,644.0,6
120,60.0,7313,4,4,4,9,5,2005,246.0,5,3,1,1561.0,5,1,1561,0,1561,1.0,0.0,2,0,2,1,5,6,1,1,4,2.0,556.0,0,0,2007,277500,0,0,0,0,0,1,2,8,7,1153.0,6
60,83.0,10019,3,4,4,8,5,1995,397.0,4,3,1,1342.0,5,1,1358,1368,2726,0.0,0.0,2,1,4,1,4,9,1,1,5,3.0,725.0,0,0,2006,350000,0,1,0,0,0,0,4,7,6,527.0,6
20,53.0,15401,3,4,4,9,5,2004,296.0,5,3,4,1884.0,5,1,1884,0,1884,1.0,0.0,2,0,2,1,5,7,1,1,4,3.0,670.0,0,0,2008,387000,0,1,0,0,0,0,4,8,7,1337.0,6
30,58.0,9098,3,4,2,4,7,2002,0.0,3,3,2,528.0,5,1,605,0,605,1.0,0.0,1,0,2,1,3,5,1,0,0,0.0,0.0,0,0,2007,86000,0,1,0,0,0,0,2,6,6,348.0,0
20,103.0,16280,4,4,4,8,9,2007,0.0,5,5,2,1426.0,5,1,1671,0,1671,1.0,0.0,3,0,3,1,5,6,1,1,4,2.0,550.0,0,0,2008,290000,0,1,0,0,0,0,4,9,9,1426.0,6
30,72.0,9392,4,4,1,3,3,1950,0.0,3,2,1,245.0,3,1,797,0,797,0.0,0.0,1,0,2,1,3,5,1,0,0,0.0,0.0,0,0,2009,44000,0,1,0,0,0,0,0,5,2,0.0,0
60,71.0,12209,3,4,2,6,5,2002,0.0,3,3,1,804.0,5,1,804,1157,1961,1.0,0.0,2,1,3,1,4,7,1,1,3,2.0,560.0,0,0,2009,215000,0,1,0,0,0,0,4,8,6,690.0,6
190,79.0,13110,3,4,3,5,6,1972,144.0,3,3,1,1153.0,5,1,1193,0,1193,1.0,0.0,2,0,2,1,3,6,1,0,0,2.0,501.0,0,0,2006,146500,1,0,1,0,0,0,2,7,7,962.0,6
160,69.05520046484602,2651,4,4,3,7,5,2000,0.0,4,3,1,673.0,5,1,673,709,1382,1.0,0.0,2,1,3,1,4,6,1,0,0,2.0,490.0,0,0,2006,165000,0,0,0,0,1,0,2,7,7,641.0,6
50,60.0,8520,4,4,1,6,7,1950,0.0,3,4,1,714.0,3,1,1664,862,2526,0.0,0.0,2,0,5,1,4,10,1,1,4,1.0,216.0,0,0,2007,136000,0,1,0,0,0,0,1,6,5,714.0,6
20,69.05520046484602,39384,3,4,2,6,6,1957,902.0,3,3,4,1705.0,5,1,1390,0,1390,1.0,0.0,1,1,1,1,5,4,0,2,4,2.0,550.0,0,0,2006,252000,0,1,0,0,0,0,2,7,6,1110.0,6
160,36.0,2628,4,4,4,7,5,2003,106.0,4,3,1,764.0,5,1,764,862,1626,0.0,0.0,2,1,2,1,4,6,1,0,0,2.0,474.0,0,0,2010,175500,0,0,0,0,1,0,3,7,2,0.0,6
70,57.0,6406,4,4,1,5,6,1950,0.0,3,3,1,690.0,3,0,868,690,1558,0.0,0.0,1,1,3,1,3,7,1,1,4,2.0,400.0,0,0,2009,150000,0,1,0,0,0,0,2,6,6,421.0,6
20,69.05520046484602,12342,3,4,2,5,5,1978,0.0,3,3,1,978.0,3,1,1422,0,1422,0.0,0.0,1,0,3,1,3,6,0,1,3,1.0,286.0,0,0,2007,139900,0,1,0,0,0,0,2,6,2,0.0,6
50,52.0,6240,4,4,1,5,7,1992,0.0,3,3,1,1078.0,3,1,1128,445,1573,0.0,0.0,2,0,3,1,3,8,1,1,4,2.0,360.0,0,0,2008,162900,0,1,0,0,0,0,2,6,2,0.0,6
20,87.0,10000,3,4,2,6,6,1962,261.0,3,3,1,1116.0,3,1,1116,0,1116,0.0,0.0,1,1,3,1,3,5,1,0,0,2.0,440.0,0,0,2010,160000,0,1,0,0,0,0,2,6,2,0.0,6
